keys,values
amenity,bar
keys,values
amenity,biergarten
keys,values
amenity,cafe
keys,values
amenity,fast_food
keys,values
amenity,food_court
keys,values
amenity,ice_cream
keys,values
amenity,pub
keys,values
amenity,restaurant
keys,values
amenity,casino
keys,values
amenity,cinema
keys,values
amenity,nightclub
keys,values
amenity,planetarium
keys,values
amenity,public_bookcase
keys,values
amenity,theatre
keys,values
amenity,bench
keys,values
amenity,drinking_water
keys,values
amenity,water_point
keys,values
amenity,watering_place
keys,values
amenity,monastery
keys,values
amenity,place_of_worship
keys,values
building,houseboat
keys,values
building,industrial
keys,values
building,cathedral
keys,values
building,chapel
keys,values
building,church
keys,values
building,kingdom_hall
keys,values
building,monastery
keys,values
building,mosque
keys,values
building,presbytery
keys,values
building,religious
keys,values
building,shrine
keys,values
building,synagogue
keys,values
building,temple
keys,values
building,bridge
keys,values
building,museum
keys,values
building,boathouse
keys,values
building,water_tower
keys,values
emergency,drinking_water
keys,values
highway,pedestrian
keys,values
highway,footway
keys,values
highway,bridleway
keys,values
highway,path
keys,values
highway,sidewalk
keys,values
highway,cycleway
keys,values
historic,castle
keys,values
historic,church
keys,values
historic,manor
keys,values
historic,memorial
keys,values
historic,milestone
keys,values
historic,monastery
keys,values
historic,monument
keys,values
historic,mosque
keys,values
historic,ruins
keys,values
historic,temple
keys,values
landuse,industrial
keys,values
landuse,institutional
keys,values
landuse,flowerbed
keys,values
landuse,forest
keys,values
landuse,greenhouse_horticulture
keys,values
landuse,meadow
keys,values
landuse,orchard
keys,values
landuse,plant_nursery
keys,values
landuse,vineyard
keys,values
landuse,basin
keys,values
landuse,reservoir
keys,values
landuse,brownfield
keys,values
landuse,grass
keys,values
landuse,greenfield
keys,values
landuse,landfill
keys,values
landuse,port
keys,values
landuse,quarry
keys,values
landuse,religious
keys,values
leisure,fishing
keys,values
leisure,garden
keys,values
leisure,marina
keys,values
leisure,nature_reserve
keys,values
leisure,park
keys,values
leisure,picnic_table
keys,values
leisure,pitch
keys,values
leisure,playground
keys,values
leisure,swimming_area
keys,values
leisure,track
keys,values
leisure,water_park
keys,values
man_made,beacon
keys,values
man_made,breakwater
keys,values
man_made,bridge
keys,values
man_made,dyke
keys,values
man_made,embankment
keys,values
man_made,groyne
keys,values
man_made,lighthouse
keys,values
man_made,mast
keys,values
man_made,pier
keys,values
man_made,pipeline
keys,values
man_made,pump
keys,values
man_made,pumping_station
keys,values
man_made,wastewater_plant
keys,values
man_made,watermill
keys,values
man_made,water_tower
keys,values
man_made,water_well
keys,values
man_made,water_tap
keys,values
man_made,water_works
keys,values
natural,fell
keys,values
natural,grassland
keys,values
natural,heath
keys,values
natural,moor
keys,values
natural,scrub
keys,values
natural,shrubbery
keys,values
natural,tree
keys,values
natural,tree_row
keys,values
natural,tundra
keys,values
natural,wood
keys,values
natural,bay
keys,values
natural,beach
keys,values
natural,blowhole
keys,values
natural,cape
keys,values
natural,coastline
keys,values
natural,crevasse
keys,values
natural,geyser
keys,values
natural,glacier
keys,values
natural,hot_spring
keys,values
natural,isthmus
keys,values
natural,mud
keys,values
natural,peninsula
keys,values
natural,reef
keys,values
natural,shingle
keys,values
natural,shoal
keys,values
natural,spring
keys,values
natural,strait
keys,values
natural,wetland
keys,values
natural,arch
keys,values
natural,arete
keys,values
natural,bare_rock
keys,values
natural,blockfield
keys,values
natural,cave_entrance
keys,values
natural,cliff
keys,values
natural,dune
keys,values
natural,earth_bank
keys,values
natural,fumarole
keys,values
natural,hill
keys,values
natural,peak
keys,values
natural,ridge
keys,values
natural,rock
keys,values
natural,saddle
keys,values
natural,sand
keys,values
natural,scree
keys,values
natural,sinkhole
keys,values
natural,stone
keys,values
natural,valley
keys,values
natural,volcano
keys,values
route,ferry
keys,values
route,canoe
keys,values
route,footway
keys,values
route,hiking
keys,values
tourism,hostel
keys,values
tourism,hotel
keys,values
tourism,motel
keys,values
tourism,museum
keys,values
tourism,picnic_site
keys,values
tourism,viewpoint
keys,values
tourism,wilderness_hut
keys,values
amenity,NA
keys,values
amenity,bicycle_rental
keys,values
building,hotel
keys,values
building,commercial
keys,values
building,kiosk
keys,values
leisure,dog_park
keys,values
tourism,artwork
keys,values
tourism,apartment
keys,values
tourism,attraction
keys,values
tourism,gallery
keys,values
tourism,zoo
keys,values
building,apartments
keys,values
building,house
keys,values
building,residential
keys,values
building,office
keys,values
building,retail
keys,values
building,hangar
keys,values
building,construction
keys,values
landuse,commercial
keys,values
landuse,construction
keys,values
landuse,education
keys,values
landuse,residential
keys,values
amenity,shelter
keys,values
amenity,shower
keys,values
amenity,telephone
keys,values
amenity,toilets
keys,values
amenity,recycling
keys,values
amenity,waste_basket
keys,values
amenity,waste_disposal
keys,values
amenity,waste_transfer_station
keys,values
amenity,bicycle_parking
keys,values
amenity,bicycle_repair_station
keys,values
amenity,fountain
keys,values
amenity,parking
keys,values
building,supermarket
keys,values
building,hospital
keys,values
building,school
keys,values
building,university
keys,values
building,parking
keys,values
tourism,information
keys,values
shop,alcohol
keys,values
shop,bakery
keys,values
shop,beverages
keys,values
shop,brewing_supplies
keys,values
shop,butcher
keys,values
shop,cheese
keys,values
shop,chocolate
keys,values
shop,coffee
keys,values
shop,confectionery
keys,values
shop,convenience
keys,values
shop,deli
keys,values
shop,dairy
keys,values
shop,farm
keys,values
shop,frozen_food
keys,values
shop,greengrocer
keys,values
shop,health_food
keys,values
shop,ice_cream
keys,values
shop,pasta
keys,values
shop,pastry
keys,values
shop,seafood
